absolvovat	vec00601
protáhnout	vec00274
protřídit	vec00879
proudit	vec00952
provozovat	vec00277
provádět	vec00090
provádět	vec01188
provést	vec00089
provést	vec00090
provést	vec01188
prověřit	vec00090
prověřovat	vec00090
prozkoumat	vec00090
prozradit	vec00060
prozrazovat	vec00060
pročesat	vec00684
pročesávat	vec00684
prošetřit	vec00090
prošetřovat	vec00090
prožít	vec00379
prožívat	vec00379
prát se	vec00121
psát	vec00037
psát	vec00060
ptát se	vec00384
publikovat	vec00351
pustit se	vec00698
putovat	vec00403
pyšnit se	vec00418
páchat	vec00009
páchnout	vec00926
pást se	vec01067
pátrat	vec00021
pít	vec00866
pěstovat	vec00468
přebíhat	vec01086
přebírat	vec00189
přebývat	vec00394
přeběhnout	vec00048
přeběhnout	vec01085
přecenit	vec00634
přeceňovat	vec00634
přechovávat	vec00921
přecházet	vec00227
přecházet	vec00496
přecházet	vec01025
předat	vec01087
předcházet	vec00174
předcházet	vec00692
předejít	vec00174
předejít	vec00692
předepisovat	vec00743
předepsat	vec00743
předjímat	vec00093
předkládat	vec00033
předložit	vec00033
předložit	vec00039
předložit	vec00087
přednášet	vec00531
přednést	vec00531
předpokládat	vec00032
předpokládat	vec00092
předpovídat	vec00093
předpovědět	vec00093
předsedat	vec00302
představit	vec00330
představit si	vec00493
představovat	vec00366
představovat si	vec00493
předstihnout	vec00279
předstoupit	vec00057
předstírat	vec00693
předurčit	vec00889
předurčovat	vec00889
předvolat	vec00485
předvolávat	vec00485
předvádět se	vec00890
předvést se	vec00890
předvídat	vec00093
předznamenat	vec00194
předznamenávat	vec00194
předávat	vec01087
předčit	vec00279
předčit	vec00280
předčítat	vec00690
předělat	vec00095
předělávat	vec00095
přeformulovat	vec01093
přehlušit	vec00279
přehlédnout	vec00460
přehlížet	vec00460
přehnat	vec00634
přehodnocovat	vec00095
přehodnotit	vec00095
přehodnotit	vec00149
přehánět	vec00634
přejmenovat	vec00891
přejít	vec00048
přejít	vec00113
přejít	vec00496
překazit	vec00174
překonat	vec00279
překonat	vec00280
překonávat	vec00279
překonávat	vec00280
překračovat	vec00280
překroutit	vec00791
překročit	vec00280
překrucovat	vec00791
překrývat se	vec00892
překvapit	vec00094
překypovat	vec00893
přeložit	vec00894
přelstít	vec00766
přemisťovat	vec00894
přemístit	vec00894
přemístit se	vec00022
přemítat	vec00149
přemýšlet	vec00149
přeměnit	vec00095
přeměnit se	vec01132
přeměňovat	vec00095
přenechat	vec00497
přenášet	vec00283
přenést	vec00283
přeorganizovat	vec00896
přeorientovat	vec00895
přeorientovat se	vec00496
přepnout se	vec00496
přepočíst	vec01093
přepočítat	vec01093
přepočítávat	vec01093
přepracovat	vec00095
přepracovávat	vec00095
přepravit	vec00283
přerozdělit	vec00694
přerušit	vec00198
přerušovat	vec00198
přesahovat	vec00280
přesedlat	vec00496
přeskakovat	vec01086
přeskočit	vec00560
přeskočit	vec01086
přeskupovat	vec00894
přesměrovat	vec01094
přesměrovávat	vec01094
přesouvat	vec00283
přestavovat	vec00095
přestavět	vec00095
přestát	vec00970
přestávat	vec00113
přestávat	vec00942
přestěhovat	vec00283
přestěhovat se	vec00048
přesunout	vec00283
přesunout se	vec00048
přesunovat	vec00283
přesunovat se	vec00048
přesvědčit	vec00098
přesytit	vec00576
přesáhnout	vec00280
přesídlit	vec00048
přetransformovat	vec00095
přetvořit	vec00095
přetvářet	vec00095
převyšovat	vec00280
převzít	vec00096
převzít	vec00613
převzít	vec00683
převádět	vec00095
převádět	vec00283
převážet	vec00172
převést	vec00283
převézt	vec00172
převýšit	vec00280
přezdívat	vec00043
přezkoumat	vec00090
přezkoumávat	vec00090
přečkat	vec00491
přečkávat	vec00491
přečíst	vec00207
přečíst	vec00690
přeřadit	vec00283
přežít	vec00491
přežívat	vec00491
přibližovat se	vec01001
přiblížit se	vec01001
přibrat	vec00175
přicházet	vec00097
přicházet	vec00127
přicházet	vec00218
přicházet	vec00233
přicházet	vec00258
přicházet	vec00393
přidat	vec00175
přidat	vec00499
přidat se	vec00239
přidávat	vec00175
přidávat	vec00499
přidávat se	vec00067
přidávat se	vec00239
přidělit	vec00571
přidělovat	vec00571
přihlásit se	vec00239
přihodit se	vec00097
přijet	vec00218
přijmout	vec00078
přijmout	vec00189
přijmout	vec00369
přijímat	vec00078
přijímat	vec00189
přijímat	vec00369
přijímat	vec00546
přijít	vec00127
přijít	vec00128
přijít	vec00218
přijít	vec00233
přijít	vec00258
přijít	vec00393
přijít	vec00898
přijít	vec01096
přijít	vec01193
přijíždět	vec00218
přikazovat	vec01013
přikládat	vec00735
přikoupit	vec00035
přikračovat	vec00500
přikročit	vec00500
přikyvovat	vec01097
přikázat	vec01013
přiložit	vec00407
přilákat	vec00188
přilákat	vec00286
přimlouvat se	vec00069
přimluvit se	vec00069
přimět	vec00098
přinutit	vec00098
přinášet	vec00011
přinášet	vec00060
přinášet	vec00355
přinést	vec00011
přinést	vec00355
přiostřit	vec00785
přiostřit se	vec00730
přiostřovat	vec00785
připadat	vec00032
připadat si	vec00204
připadnout	vec00027
připadnout	vec00032
připevnit	vec00899
připevňovat	vec00899
připisovat	vec00291
připojit	vec00519
připojit se	vec00239
připojovat	vec00175
připojovat se	vec00239
připomenout	vec00099
připomínat	vec00099
připouštět	vec00503
připravit	vec00502
připravit	vec00900
připravit	vec01187
připravit se	vec00290
připravovat	vec00502
připravovat	vec00900
připravovat se	vec00290
připsat	vec00291
připustit	vec00503
přirovnat	vec00101
přirovnávat	vec00101
přislíbit	vec00311
přisoudit	vec00291
přispívat	vec00067
přispěchat	vec00722
přispět	vec00067
přispět	vec00695
přistoupit	vec00038
přistoupit	vec00120
přistoupit	vec00218
přistoupit	vec00500
přistupovat	vec00120
přistupovat	vec00218
přistupovat	vec00500
přistát	vec00901
přistávat	vec00901
přisuzovat	vec00291
přitahovat	vec00188
přitáhnout	vec00188
přiučit se	vec00013
přivodit	vec00196
přivyknout	vec00696
přivádět	vec00812
přivážet	vec00011
přivést	vec00011
přivést	vec00098
přivést	vec00812
přivézt	vec00011
přivítat	vec01145
přiznat	vec00078
přiznat	vec00503
přiznat se	vec00503
přiznávat	vec00503
přiznávat se	vec00503
přizpůsobit	vec00902
přizpůsobit se	vec00696
přizpůsobovat	vec00902
přizpůsobovat se	vec00696
přizvat	vec00487
přičíst	vec00175
přičíst	vec00291
přičítat	vec00291
přiřadit	vec00291
přát	vec01084
přát si	vec00219
přísahat	vec00311
přít se	vec00121
půjčit si	vec00505
půjčovat si	vec00505
působit	vec00054
působit	vec00164
působit	vec00221
radit	vec00215
radit se	vec00031
ratifikovat	vec00078
reagovat	vec00102
realizovat	vec00179
realizovat	vec01188
recyklovat	vec01098
redefinovat	vec00103
redukovat	vec00118
referovat	vec00060
refinancovat	vec00125
reflektovat	vec00141
registrovat	vec00507
regulovat	vec00302
reinvestovat	vec00147
reprezentovat	vec00375
respektovat	vec00303
restrukturalizovat	vec00095
rezignovat	vec00942
rezonovat	vec01099
režírovat	vec00302
riskovat	vec00104
rodit se	vec00197
rovnat se	vec00206
rovnat se	vec00250
rozběhnout	vec00038
rozcházet se	vec00905
rozcupovat	vec00903
rozdat	vec00209
rozdrtit	vec00389
rozdrtit	vec00903
rozdávat	vec00209
rozdělit	vec00209
rozdělit	vec00296
rozdělovat	vec00209
rozdělovat	vec00296
rozebírat	vec00031
rozejít se	vec00905
rozeslat	vec00209
rozesílat	vec00209
rozeznat	vec00909
rozeznávat	vec00909
rozeznít	vec00038
rozhodnout	vec00127
rozhodnout	vec00509
rozhodnout se	vec00106
rozhodnout se	vec00297
rozhodovat	vec00127
rozhodovat	vec00509
rozhodovat se	vec00106
rozhořčit	vec00667
rozházet	vec00105
rozjet	vec00038
rozjet se	vec00097
rozjíždět	vec00038
rozjíždět se	vec00097
rozkládat	vec00296
rozladit	vec00608
rozlišit	vec01102
rozlišovat	vec01102
rozložit	vec00296
rozmyslet se	vec01044
rozmyslet si	vec00149
rozpadnout se	vec00113
rozplakat se	vec00867
rozpoutat	vec00038
rozpoutat se	vec00097
rozpoutávat	vec00038
rozpoznat	vec00909
rozpoznat	vec01102
rozpoznávat	vec00909
rozprodat	vec00083
rozprodávat	vec00083
rozprostřít	vec00694
rozproudit	vec00038
rozptylovat se	vec00911
rozptýlit	vec00910
rozptýlit se	vec00911
rozpustit	vec00198
rozpůlit	vec00296
rozrušit	vec00372
rozrůst se	vec00109
rozrůstat se	vec00109
roztavit se	vec01103
roztřídit	vec00296
rozumět	vec00107
rozvažovat	vec00149
rozvinout	vec00914
rozvinout se	vec00510
rozvádět	vec00108
rozvádět se	vec01104
rozvést	vec00108
rozvést se	vec01104
rozvíjet se	vec00510
rozvířit	vec00915
rozzlobit	vec00701
rozzuřit	vec00701
rozčilovat	vec00904
rozšiřovat	vec00298
rozšiřovat	vec00912
rozšiřovat se	vec00510
rozštěpit	vec00296
rozšířit	vec00298
rozšířit	vec00912
rozšířit se	vec00109
rozšířit se	vec00510
ručit	vec00511
rušit	vec00198
rýsovat se	vec00703
rýžovat	vec01105
růst	vec00109
růst	vec00510
různit se	vec00829
sahat	vec00713
sahat	vec00917
sbírat	vec00443
schovat	vec00514
schovávat	vec00514
schraňovat	vec00443
schvalovat	vec00078
schválit	vec00078
sdružit	vec00623
sdružit se	vec00318
sdružovat	vec00623
sdílet	vec00304
sdělit	vec00060
sdělovat	vec00060
sebrat	vec00704
sednout si	vec00705
sedět	vec00305
sedět	vec00373
sehrát	vec00222
sehrát	vec00415
sehrávat	vec00222
sejmout	vec00962
sejít se	vec00307
selhat	vec00599
selhávat	vec00599
sesadit	vec00380
sestavit	vec00084
sestavovat	vec00084
sestávat	vec00366
setkat se	vec00307
setkat se	vec00379
setkávat se	vec00307
setkávat se	vec00379
setrvat	vec00199
setrvávat	vec00199
seznamovat se	vec00876
seznat	vec00032
seznat	vec00082
seznámit se	vec00876
shazovat	vec00707
shazovat	vec01106
shazovat	vec01107
shazovat	vec01108
shledat	vec00127
shledat	vec00402
shledávat	vec00032
shodit	vec01106
shodit	vec01108
shrnout	vec00709
shrnovat	vec00709
shromažďovat	vec00443
shromažďovat se	vec00710
shromáždit	vec00443
shromáždit se	vec00710
shrábnout	vec00708
signalizovat	vec00330
simulovat	vec01109
sjednat	vec00162
sjednotit	vec00723
sjednávat	vec00162
skandovat	vec01114
skladovat	vec00921
sklidit	vec00708
sklidit	vec00712
sklouznout	vec00028
sklouznout	vec01115
sklouzávat	vec01115
skládat se	vec00366
sklízet	vec00712
skončit	vec00113
skončit	vec00213
skončit	vec00309
skončit	vec00741
skotačit	vec00922
skoupit	vec00035
skočit	vec00109
skočit	vec00713
skočit	vec00747
skrýt	vec00514
skrývat	vec00514
skrývat se	vec00714
skupovat	vec00035
skákat	vec01113
sledovat	vec00115
sledovat	vec00310
slibovat	vec00311
sloučit	vec00519
sloučit	vec00623
sloučit se	vec00318
sloužit	vec00221
sloužit	vec00373
sloužit	vec00515
složit	vec00601
slučovat se	vec00318
slyšet	vec00013
slyšet	vec00313
slábnout	vec00463
slíbit	vec00311
slýchat	vec00313
slýchávat	vec00313
smazat	vec00923
smazávat	vec00923
smiřovat se	vec00719
smrdět	vec00926
smrštit se	vec00028
smát se	vec00717
smát se	vec00718
smést	vec00380
smést	vec00924
smířit se	vec00719
smýkat	vec00819
směnit	vec00030
směřovat	vec00434
směřovat	vec00516
směřovat	vec00859
snažit se	vec00117
snižovat	vec00118
snižovat se	vec00028
snášet	vec00970
snést	vec00970
sníst	vec00828
snít	vec00877
snížit	vec00118
snížit se	vec00028
soudit	vec00720
souhlasit	vec00120
souhlasit	vec00929
soupeřit	vec00121
soustředit	vec00859
soustředit se	vec00859
soustřeďovat se	vec00115
soutěžit	vec00121
souviset	vec00328
spadnout	vec00028
spadnout	vec00467
spadnout	vec01115
spatřit	vec00154
specializovat se	vec00314
specifikovat	vec00108
spekulovat	vec00149
splatit	vec00125
splnit	vec00316
splynout	vec00318
splácet	vec00125
splývat	vec00318
splňovat	vec00316
spojit	vec00407
spojit	vec00519
spojit	vec00723
spojit se	vec00318
spojovat	vec00407
spojovat	vec00519
spojovat	vec00723
spojovat se	vec00318
spokojit se	vec00724
spolehnout se	vec00520
spolupracovat	vec00319
spoluzaložit	vec00179
spoléhat	vec00520
spoléhat se	vec00520
sponzorovat	vec00410
spouštět	vec00038
spočítat	vec00166
spočívat	vec00317
spravit	vec00462
spravovat	vec00302
spravovat	vec00462
spustit	vec00038
spáchat	vec00009
spálit se	vec00721
spát	vec00518
spěchat	vec00610
spěchat	vec00722
spřáhnout se	vec00318
srazit	vec00118
srovnat	vec00480
srovnat	vec00725
srovnat se	vec01128
srovnávat	vec00480
srážet	vec00118
stabilizovat	vec00521
stabilizovat se	vec00522
stahovat	vec00198
stahovat se	vec00048
standardizovat	vec01117
stanout	vec00323
stanovit	vec00127
stanovit	vec00166
stanovit	vec00322
stanovit	vec00743
stanovovat	vec00127
stanovovat	vec00166
stanovovat	vec00322
stanovovat	vec00743
starat se	vec00574
stavit	vec00084
stavět	vec00084
stavět	vec01118
stavět se	vec00131
stavět se	vec00461
stačit	vec00412
stimulovat	vec00069
stisknout	vec00728
stlačit	vec00118
stlačovat	vec00118
stoupat	vec00109
stoupnout	vec00109
stočit se	vec00931
strachovat se	vec00243
stranit	vec00069
strkat	vec00932
strpět	vec00491
strukturovat	vec00526
strávit	vec00325
strčit	vec00932
studovat	vec00090
studovat	vec00527
stupňovat se	vec00730
stvořit	vec00084
stvrdit	vec00078
stvrzovat	vec00078
stáhnout	vec00198
stáhnout	vec00321
stát	vec00128
stát	vec00205
stát	vec00206
stát	vec00323
stát	vec00326
stát se	vec00006
stát se	vec00097
stát se	vec00524
stát se	vec01132
stát si	vec00153
stát si	vec00678
stávat	vec00206
stávat	vec00323
stávat se	vec00006
stávat se	vec00524
stávat se	vec01132
stávkovat	vec00727
stíhat	vec01119
stěhovat se	vec00048
stěžovat si	vec00132
střelit	vec00365
střelit	vec00729
střežit	vec00820
střídat	vec00565
střílet	vec00729
subvencovat	vec00410
sužovat	vec00740
svazovat	vec00519
svolávat	vec00485
svrhnout	vec00380
svázat	vec00519
svědčit	vec00561
svěřit	vec00074
svěřit	vec00571
svěřovat se	vec00503
symbolizovat	vec01121
sázet	vec00112
sídlit	vec00308
sílit	vec00510
sípat	vec01110
sít	vec01111
sčítat	vec00919
tajit	vec00514
tancovat	vec00934
tančit	vec00934
telefonovat	vec00581
testovat	vec00058
tečkovat	vec01123
tisknout	vec00528
tkvít	vec00317
tlačit	vec00812
tlačit	vec01124
tlačit se	vec00833
tleskat	vec00135
tlumit	vec00815
tolerovat	vec01128
topit se	vec01130
toužit	vec00877
točit se	vec01126
transformovat	vec00095
transformovat se	vec01132
transportovat	vec00283
tratit	vec01193
trestat	vec00484
trvat	vec00261
trvat	vec00326
trvat	vec00530
trápit	vec00547
trápit se	vec01133
trávit	vec00325
tvořit	vec00084
tvořit	vec00206
tvrdit	vec00060
táhnout	vec00069
táhnout	vec00286
tápat	vec00935
téci	vec00952
tíhnout	vec00516
tísnit se	vec00833
týkat se	vec00328
těšit se	vec00003
těšit se	vec00742
těžit	vec00169
těžit	vec00732
třást se	vec00937
třídit	vec00879
ubezpečit	vec00535
ubezpečovat	vec00535
ubližovat	vec00372
ublížit	vec00372
ubodat	vec00365
ubrat	vec00648
ubírat se	vec00516
uchlácholit	vec00536
uchovávat	vec00176
uchránit	vec00024
uchvátit	vec00708
uchylovat se	vec01136
uchytit se	vec00689
ucházet se	vec00423
ucítit	vec00203
udat	vec00060
udržet	vec00014
udržet	vec00176
udržet	vec00412
udržet se	vec00199
udržet se	vec00394
udržet si	vec00176
udržovat	vec00014
udržovat	vec00176
udát se	vec00097
udávat	vec00163
udělat	vec00033
udělat	vec00084
udělat	vec00089
udělat	vec00196
udělat	vec00533
udělat	vec01188
udělit	vec00208
udělit	vec01087
udělovat	vec00208
udělovat	vec01087
uhradit	vec00125
uhrazovat	vec00125
ujistit	vec00535
ujmout se	vec00613
ujídat	vec00828
ujímat se	vec00613
ujíst	vec00828
ujíždět	vec00811
ukazovat	vec00087
ukazovat	vec00141
ukazovat	vec00330
ukazovat	vec00332
ukazovat se	vec00086
ukazovat se	vec00245
ukazovat se	vec00331
uklidnit	vec00536
uklidnit se	vec00733
uklidňovat	vec00536
uklidňovat se	vec00733
uklouznout	vec00734
ukládat	vec00743
ukládat	vec00921
ukončit	vec00213
ukončit	vec00741
ukončovat	vec00213
ukradnout	vec00704
ukrajovat	vec00940
ukrojit	vec00940
ukrádat	vec00704
ukrást	vec00704
ukrývat se	vec00714
ukázat	vec00087
ukázat	vec00141
ukázat	vec00330
ukázat	vec00332
ukázat se	vec00087
ukázat se	vec00331
uloupit	vec00704
uložit	vec00921
umisťovat	vec00735
umlčet	vec00091
umlčovat	vec00091
umořit	vec00125
umořovat	vec00125
umožnit	vec00012
umožňovat	vec00012
umírat	vec00383
umístit	vec00735
umísťovat	vec00440
umýt si	vec01137
umřít	vec00383
uniknout	vec00048
unést	vec01138
upadnout	vec01115
upevnit	vec00539
upevňovat	vec00539
upgradovat	vec00386
upisovat	vec00941
uplatnit	vec00079
uplatňovat	vec00079
uplatňovat	vec00117
uplácet	vec01072
upouštět	vec00942
upozornit	vec00332
upozorňovat	vec00332
upravit	vec00095
upravovat	vec00095
uprchnout	vec00146
upsat	vec00941
upustit	vec00942
upřednostnit	vec00334
upřednostňovat	vec00334
upřesnit	vec00108
upřesňovat	vec00108
urazit	vec00736
urovnat	vec00356
urovnávat	vec00356
urychlit	vec00337
urychlovat	vec00337
urážet	vec00736
určit	vec00127
určit	vec00166
určit	vec00322
určit	vec00509
určit	vec00859
určovat	vec00127
určovat	vec00166
určovat	vec00322
určovat	vec00859
usadit se	vec00308
usadit se	vec00522
usadit se	vec00741
usazovat se	vec00522
usilovat	vec00117
uskutečnit	vec01188
uskutečnit se	vec00097
uskutečňovat	vec01188
uskutečňovat se	vec00097
uslyšet	vec00013
usmrcovat	vec00365
usmrtit	vec00365
usmát se	vec00718
usmívat se	vec00718
usměrnit	vec00302
usměrňovat	vec00302
usoudit	vec00032
usoudit	vec00127
uspokojit	vec00540
uspokojovat	vec00540
uspořádat	vec00502
uspíšit	vec00337
uspět	vec00338
usrkávat	vec00866
ustalovat se	vec00522
ustanovit	vec00127
ustanovit	vec00179
ustat	vec00113
ustavit	vec00322
ustavovat	vec00179
ustoupit	vec00028
ustoupit	vec00143
ustoupit	vec00739
ustoupit	vec00793
ustoupit	vec00942
ustupovat	vec00143
ustupovat	vec00739
ustupovat	vec00942
ustálit	vec00521
ustálit se	vec00522
ustávat	vec00463
usuzovat	vec00032
usvědčit	vec00541
utahovat	vec00943
utišit	vec00536
utišovat	vec00536
utlumit	vec00055
utratit	vec00147
utrpět	vec00340
utrpět	vec00740
utrácet	vec00147
utržit	vec00169
utužovat	vec00539
utvořit	vec00944
utvářet	vec00944
utáhnout	vec00943
utéci	vec00146
utíkat	vec00146
uvalit	vec00543
uvalovat	vec00543
uvažovat	vec00149
uvažovat	vec01044
uveřejnit	vec00351
uveřejňovat	vec00351
uvidět	vec00154
uvolnit	vec00545
uvolnit	vec00947
uvolnit	vec01140
uvolňovat	vec00545
uvolňovat	vec00947
uvrhnout	vec00812
uvádět	vec00060
uvádět	vec00322
uvádět	vec00812
uvážit	vec00149
uvést	vec00060
uvést	vec00342
uvést	vec00812
uvést	vec00946
uvítat	vec00135
uvíznout	vec00394
uvědomit si	vec00341
uvědomovat si	vec00341
uvěznit	vec00544
uvězňovat	vec00544
uvěřit	vec00345
uzavírat	vec00213
uzavírat	vec00741
uzavřít	vec00376
uzavřít	vec00741
uzavřít se	vec00948
uznat	vec00503
uznávat	vec00503
uzpůsobit	vec00095
uzákonit	vec00546
uzákoňovat	vec00546
učinit	vec00089
učinit	vec00329
učinit	vec01188
učit	vec00531
učit se	vec00013
učívat	vec00531
ušetřit	vec00144
ušklíbnout se	vec00145
uškodit	vec00372
užít	vec00079
užít si	vec00742
užívat	vec01004
užívat si	vec00742
vadit	vec00547
valit se	vec00949
varovat	vec00344
vcházet	vec00218
vejít	vec00218
vejít	vec00586
velebit	vec00675
verbovat	vec00369
vetovat	vec00174
večeřet	vec00950
vidět	vec00154
vidět	vec00402
vinit	vec00347
viset	vec00551
vkládat	vec00147
vkládat	vec00778
vlastnit	vec00348
vlnit se	vec01147
vložit	vec00147
vložit	vec00735
vládnout	vec00302
vládnout	vec00951
vlákat	vec00286
vléci	vec01146
vlévat se	vec00952
vnucovat	vec00743
vnutit	vec00743
vnést	vec00812
vnímat	vec00402
volat	vec00581
volit	vec00106
vracet	vec00745
vracet se	vec00218
vracet se	vec00744
vraždit	vec00365
vrcholit	vec00977
vrhat	vec00812
vrhat	vec00954
vrhat se	vec00747
vrhnout	vec00954
vrhnout se	vec00618
vrhnout se	vec00713
vrhnout se	vec00747
vrtat se	vec00818
vrátit	vec00745
vrátit se	vec00218
vrátit se	vec00744
vrávorat	vec00626
vsadit	vec00112
vsadit se	vec01148
vstoupit	vec00218
vstoupit	vec00239
vstoupit	vec00586
vstupovat	vec00218
vstupovat	vec00239
vstupovat	vec00586
vstát	vec00979
vstávat	vec00749
vstávat	vec00979
vstřebat	vec00476
vstřebávat	vec00476
vsázet	vec00112
vtipkovat	vec00750
vtrhnout	vec00751
vtrhávat	vec00227
vtáhnout	vec00812
vybavit	vec00752
vybavit si	vec00364
vybavovat	vec00752
vybojovat	vec00956
vybrat	vec00106
vybuchnout	vec00018
vybudovat	vec00084
vybudovat	vec00179
vybudovat	vec01118
vybídnout	vec00361
vybírat	vec00106
vybízet	vec00361
vyběhnout	vec00048
vychloubat se	vec00418
vychutnat si	vec00742
vychutnávat si	vec00742
vychvalovat	vec00675
vychylovat se	vec00626
vycházet	vec00086
vycházet	vec00160
vycházet	vec00227
vycházet	vec00258
vychýlit se	vec00626
vycouvat	vec00942
vycvičit	vec00763
vydat	vec00060
vydat	vec00074
vydat	vec00147
vydat	vec00351
vydat	vec01149
vydat se	vec00022
vydechnout si	vec00959
vydražit	vec01151
vydržet	vec00491
vydávat	vec00147
vydávat	vec00351
vydávat se	vec00022
vydávat se	vec01150
vydírat	vec00753
vydělávat	vec00189
vyděsit	vec00761
vygenerovat	vec00355
vyhazovat	vec00555
vyhladovět	vec00158
vyhlašovat	vec00060
vyhledat	vec00021
vyhledávat	vec00021
vyhlásit	vec00060
vyhlásit	vec00488
vyhnat	vec00298
vyhnat	vec00555
vyhnout se	vec00045
vyhodit	vec00555
vyhodnocovat	vec00159
vyhodnotit	vec00159
vyhostit	vec00555
vyhovovat	vec00540
vyhovovat	vec00960
vyhovět	vec00540
vyhradit	vec00556
vyhrožovat	vec00477
vyhrát	vec00189
vyhrát	vec00352
vyhrávat	vec00352
vyhánět	vec00298
vyhánět	vec00555
vyhýbat se	vec00045
vyjadřovat	vec00354
vyjadřovat	vec00784
vyjadřovat se	vec00161
vyjednat	vec00162
vyjednávat	vec00162
vyjmenovat	vec01029
vyjmenovávat	vec01029
vyjmout	vec00962
vyjádřit	vec00354
vyjádřit	vec00784
vyjádřit se	vec00161
vyjímat	vec00555
vyjít	vec00048
vyjít	vec00086
vyjít	vec00128
vyjít	vec00160
vyjít	vec00206
vyjít	vec00258
vyjít	vec00309
vykalkulovat	vec00166
vyklopit	vec00125
vykládat	vec00557
vykládat	vec01156
vyklízet	vec01157
vykolejit	vec00961
vykompenzovat	vec00356
vykonat	vec01188
vykonávat	vec00373
vykoupit	vec00035
vykořisťovat	vec00591
vykreslit	vec00417
vykreslovat	vec00417
vykrmovat	vec00468
vykrvácet	vec00625
vykupovat	vec00035
vykázat	vec00163
vykřikovat	vec00426
vylepšit	vec00386
vylepšovat	vec00386
vyletět	vec00109
vyloučit	vec00555
vyloučit	vec00558
vyložit	vec00557
vylučovat	vec00555
vylučovat	vec00558
vylétnout	vec00109
vyléčit	vec00628
vylíčit	vec00417
vymalovat	vec00638
vymazat	vec00962
vymezit	vec00127
vymezovat	vec00127
vymizet	vec00755
vymknout se	vec00756
vymykat se	vec00756
vymyslet	vec00040
vymírat	vec00755
vyměnit	vec00030
vyměnit	vec00429
vyměňovat	vec00030
vyměňovat	vec00429
vymřít	vec00755
vynakládat	vec00147
vynaložit	vec00147
vynechat	vec00560
vynechávat	vec00560
vynikat	vec00964
vynořit se	vec00086
vynořovat se	vec00086
vynášet	vec00355
vynést	vec00172
vynést	vec00355
vypadat	vec00164
vypadat	vec00381
vyplatit	vec00125
vyplatit	vec01159
vyplatit se	vec00757
vyplivnout	vec00614
vyplivovat	vec00614
vyplnit	vec00577
vyplnit	vec00966
vyplynout	vec00258
vyplácet	vec00125
vyplácet	vec01159
vyplácet se	vec00757
vyplýtvat	vec00886
vyplývat	vec00258
vyplňovat	vec00577
vyplňovat	vec00966
vypnout	vec00965
vypomoci	vec00475
vypomáhat	vec00475
vypovídat	vec00198
vypovídat	vec00561
vypovědět	vec00198
vypovědět	vec00561
vypočíst	vec00166
vypočítat	vec00166
vypočítávat	vec00166
vypořádat se	vec00205
vypořádávat	vec00301
vypořádávat se	vec00205
vypracovat	vec00562
vypracovávat	vec00562
vyprazdňovat	vec01160
vyprchat	vec00755
vyprodukovat	vec00084
vyprovokovat	vec00098
vyprázdnit	vec01160
vypršet	vec00113
vypsat	vec00127
vyptat se	vec00384
vyptávat se	vec00384
vypudit	vec00555
vypuzovat	vec00555
vypínat	vec00965
vypůjčit si	vec00505
vypůjčovat si	vec00505
vyrazit	vec00048
vyrobit	vec00084
vyrovnat	vec00356
vyrovnávat	vec00356
vyrozumět	vec00060
vyrábět	vec00084
vyrůst	vec00109
vyskočit	vec00109
vyskočit	vec00759
vyskytnout se	vec00017
vyskytnout se	vec00245
vyskytovat se	vec00245
vyslat	vec00209
vyslechnout si	vec00445
vyslovit	vec00354
vyslovit se	vec00161
vyslovovat	vec00354
vyslyšet	vec00540
vysmát se	vec00760
vysmívat se	vec00760
vystavit	vec00564
vystavovat	vec00564
vystavět	vec00084
vystavět	vec00179
vystoupat	vec00109
vystoupit	vec00109
vystoupit	vec00461
vystrašit	vec00761
vystupovat	vec00048
vystupovat	vec00461
vystupovat	vec00611
vystát	vec00970
vystěhovat se	vec00048
vystřelit	vec00109
vystřelit	vec00762
vystřihnout	vec01161
vystřídat	vec00565
vysvětlit	vec00450
vysvětlit si	vec00402
vysvětlovat	vec00450
vysypávat	vec01160
vysát	vec00957
vysávat	vec00957
vysílat	vec00209
vysílat	vec00358
vytahovat	vec00648
vytisknout	vec00528
vytknout	vec00620
vytlačit	vec00298
vytlačit	vec00555
vytlačovat	vec00555
vytratit se	vec00755
vytrhnout	vec00764
vytrhnout	vec01162
vytrhovat	vec00764
vytrpět si	vec00740
vytrubovat	vec01163
vytrvávat	vec00975
vytrácet se	vec00755
vytvořit	vec00127
vytvořit	vec00179
vytvořit	vec00360
vytvářet	vec00084
vytvářet	vec00179
vytyčit	vec00127
vytáhnout	vec00648
vytýkat	vec00620
vytěsnit	vec00973
vytěžit	vec00169
vytříbit	vec00976
vyučit	vec00531
vyučovat	vec00531
využít	vec00079
využívat	vec00079
vyvarovat se	vec00045
vyvažovat	vec00356
vyvinout	vec00360
vyvinout se	vec00510
vyvinout se	vec01132
vyvlastnit	vec00569
vyvodit	vec00032
vyvolat	vec00196
vyvolávat	vec00196
vyvracet	vec00765
vyvrcholit	vec00977
vyvrátit	vec00765
vyvstat	vec00978
vyvstávat	vec00978
vyvážet	vec00566
vyvážit	vec00356
vyvést	vec00172
vyvézt	vec00566
vyvíjet	vec00360
vyvíjet se	vec00510
vyvěrat	vec00258
vyzdvihnout	vec00382
vyzdvihovat	vec00382
vyzkoušet	vec00058
vyznít	vec00164
